Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
4,6,6,2,no,no,app development,game development,poor,medium,programming,developer,Service Based,yes,Horror,Management,smart worker,no,no,Database Developer
6,6,2,5,yes,yes,python,system designing,excellent,medium,networks,security,Web Services,yes,Comics,Management,smart worker,yes,yes,Database Developer
5,4,7,5,yes,no,python,web technologies,poor,excellent,hacking,developer,BPA,yes,Anthology,Management,smart worker,no,yes,Database Developer
1,1,6,9,no,yes,r programming,data science,poor,excellent,IOT,Business process analyst,Sales and Marketing,yes,Comics,Management,hard worker,no,yes,Database Developer
9,1,3,9,no,no,machine learning,web technologies,excellent,medium,programming,developer,SAaS services,yes,Satire,Management,smart worker,no,no,Database Developer
2,2,4,4,yes,yes,information security,hacking,medium,poor,IOT,testing,BPA,no,Romance,Technical,smart worker,yes,yes,Database Developer
2,2,7,9,no,no,r programming,web technologies,excellent,excellent,networks,cloud computing,Product based,no,Self help,Management,hard worker,yes,no,Database Developer
4,3,2,5,yes,yes,distro making,cloud computing,poor,poor,parallel computing,cloud computing,Sales and Marketing,no,Science fiction,Management,hard worker,no,yes,Database Developer
8,4,9,9,no,yes,python,web technologies,excellent,poor,Software Engineering,security,Cloud Services,yes,Horror,Technical,smart worker,no,no,Database Developer
7,2,5,1,yes,no,machine learning,data science,medium,medium,networks,developer,Product based,no,Fantasy,Technical,smart worker,yes,no,Database Developer
8,3,2,9,no,no,shell programming,database security,medium,excellent,parallel computing,system developer,Cloud Services,no,Childrens,Technical,smart worker,no,yes,Database Developer
5,1,3,1,no,yes,hadoop,web technologies,poor,medium,Management,testing,Product based,no,Travel,Technical,hard worker,no,yes,Database Developer
5,2,6,6,yes,yes,information security,hacking,excellent,excellent,programming,system developer,SAaS services,no,Horror,Technical,smart worker,yes,no,Database Developer
3,6,1,9,yes,no,information security,database security,medium,medium,data engineering,system developer,BPA,no,Health,Management,hard worker,no,no,Database Developer
5,3,1,9,yes,no,machine learning,system designing,excellent,medium,IOT,system developer,product development,no,Guide,Management,smart worker,no,no,Database Developer
1,0,6,3,no,no,app development,testing,medium,medium,programming,cloud computing,Web Services,yes,Satire,Management,hard worker,no,yes,Database Developer
9,1,2,8,no,no,r programming,game development,medium,medium,IOT,security,Product based,no,Prayer books,Technical,hard worker,yes,yes,Database Developer
2,0,3,5,no,no,shell programming,data science,medium,medium,Management,developer,Product based,no,Fantasy,Management,hard worker,no,no,Database Developer
2,3,2,8,yes,yes,python,cloud computing,medium,excellent,Software Engineering,Business process analyst,Testing and Maintainance Services,yes,Self help,Technical,hard worker,yes,yes,Database Developer
4,3,3,3,yes,yes,r programming,testing,medium,poor,Computer Architecture,system developer,BPA,no,Trilogy,Technical,smart worker,yes,yes,Database Developer
8,4,2,4,yes,no,distro making,system designing,medium,poor,data engineering,security,Testing and Maintainance Services,no,Fantasy,Management,hard worker,yes,no,Database Developer
9,2,4,4,yes,yes,python,web technologies,excellent,medium,Computer Architecture,system developer,Cloud Services,no,Comics,Management,smart worker,no,yes,Database Developer
1,5,8,2,yes,yes,hadoop,web technologies,excellent,excellent,parallel computing,Business process analyst,product development,no,Trilogy,Management,hard worker,no,yes,Database Developer
7,6,3,3,no,yes,distro making,system designing,excellent,excellent,Computer Architecture,testing,SAaS services,no,Fantasy,Technical,smart worker,no,no,Database Developer
6,1,6,6,no,no,distro making,system designing,excellent,poor,IOT,testing,Product based,yes,Guide,Technical,smart worker,yes,no,Database Developer
8,1,4,3,yes,yes,shell programming,database security,excellent,medium,hacking,security,Cloud Services,yes,Mystery,Management,smart worker,no,yes,Database Developer
9,4,6,6,no,yes,distro making,game development,excellent,excellent,Computer Architecture,Business process analyst,Sales and Marketing,no,Math,Management,smart worker,no,yes,Database Developer
2,6,4,8,yes,no,python,web technologies,poor,medium,programming,Business process analyst,Testing and Maintainance Services,no,Satire,Management,smart worker,no,yes,Database Developer
9,3,3,6,yes,no,machine learning,testing,poor,poor,Management,Business process analyst,Sales and Marketing,yes,Childrens,Technical,smart worker,no,no,Database Developer
7,6,5,3,no,yes,distro making,game development,medium,poor,IOT,cloud computing,Testing and Maintainance Services,no,Guide,Technical,hard worker,no,no,Database Developer
4,3,9,9,no,no,information security,cloud computing,poor,excellent,data engineering,cloud computing,Web Services,yes,Health,Management,hard worker,no,no,Database Developer
2,3,7,1,yes,yes,distro making,database security,poor,medium,Computer Architecture,developer,Testing and Maintainance Services,no,Prayer books,Management,hard worker,no,yes,Database Developer
8,5,9,3,no,yes,machine learning,cloud computing,poor,excellent,cloud computing,testing,SAaS services,no,Self help,Management,hard worker,no,yes,Database Developer
6,6,8,6,no,no,distro making,data science,excellent,excellent,cloud computing,developer,BPA,no,Guide,Management,smart worker,yes,no,Database Developer
4,1,1,5,yes,no,information security,database security,excellent,poor,networks,system developer,Service Based,no,Comics,Technical,hard worker,yes,yes,Database Developer
8,0,7,5,yes,yes,hadoop,database security,poor,medium,networks,testing,SAaS services,yes,Mystery,Technical,hard worker,yes,no,Database Developer
6,3,4,3,no,yes,hadoop,database security,excellent,excellent,programming,security,Service Based,no,History,Management,smart worker,no,no,Database Developer
1,2,2,2,no,yes,distro making,hacking,medium,excellent,Computer Architecture,system developer,Cloud Services,no,Action and Adventure,Management,hard worker,yes,yes,Database Developer
4,3,8,9,no,no,r programming,cloud computing,medium,poor,programming,developer,Cloud Services,no,Art,Management,smart worker,no,no,Database Developer
7,3,2,3,yes,yes,python,game development,poor,excellent,hacking,system developer,Service Based,no,Biographies,Technical,hard worker,yes,no,Database Developer
5,0,8,8,yes,no,python,data science,poor,excellent,data engineering,developer,Service Based,no,Autobiographies,Management,smart worker,yes,yes,Database Developer
6,0,6,4,yes,yes,machine learning,web technologies,poor,poor,data engineering,system developer,Service Based,yes,Diaries,Technical,smart worker,yes,no,Database Developer
9,2,2,8,yes,no,full stack,game development,poor,poor,cloud computing,testing,Finance,yes,Childrens,Management,smart worker,yes,yes,Database Developer
4,5,5,6,no,yes,r programming,data science,medium,medium,hacking,testing,Finance,no,Series,Management,smart worker,yes,yes,Database Developer
3,6,8,9,no,no,machine learning,data science,medium,medium,networks,security,Cloud Services,yes,Drama,Technical,hard worker,no,yes,Database Developer
9,0,9,1,yes,yes,python,testing,excellent,excellent,hacking,cloud computing,Product based,yes,Art,Technical,hard worker,no,no,Database Developer
3,1,7,2,no,no,information security,web technologies,excellent,medium,parallel computing,system developer,product development,yes,Religion-Spirituality,Management,smart worker,no,no,Database Developer
9,0,3,7,yes,no,app development,cloud computing,medium,excellent,IOT,system developer,Finance,yes,Comics,Management,hard worker,yes,no,Database Developer
9,2,4,9,no,no,r programming,hacking,excellent,poor,cloud computing,system developer,Finance,no,Satire,Management,smart worker,yes,no,Database Developer
5,6,7,7,no,yes,shell programming,game development,poor,medium,data engineering,security,Finance,no,History,Management,hard worker,yes,no,Database Developer
2,2,9,6,yes,no,app development,database security,medium,medium,networks,cloud computing,Service Based,yes,Action and Adventure,Technical,hard worker,yes,no,Database Developer
3,3,2,7,no,yes,full stack,cloud computing,poor,excellent,Software Engineering,developer,product development,no,Childrens,Management,hard worker,yes,no,Database Developer
9,3,4,5,yes,no,information security,testing,medium,medium,cloud computing,Business process analyst,Service Based,no,Science fiction,Technical,hard worker,no,yes,Database Developer
4,5,5,5,no,yes,hadoop,data science,poor,poor,hacking,Business process analyst,Web Services,no,Guide,Management,smart worker,yes,yes,Database Developer
8,6,5,2,yes,yes,distro making,testing,poor,poor,cloud computing,Business process analyst,Cloud Services,no,Art,Technical,hard worker,yes,yes,Database Developer
2,3,6,2,yes,no,distro making,system designing,poor,medium,networks,Business process analyst,SAaS services,no,Religion-Spirituality,Management,hard worker,no,no,Database Developer
3,6,4,4,yes,no,app development,game development,excellent,medium,Management,system developer,Testing and Maintainance Services,no,Cookbooks,Management,hard worker,yes,no,Database Developer
6,4,5,7,no,no,full stack,cloud computing,medium,excellent,Computer Architecture,Business process analyst,Testing and Maintainance Services,no,Prayer books,Management,smart worker,yes,no,Database Developer
2,2,3,1,yes,no,app development,system designing,excellent,excellent,data engineering,cloud computing,Cloud Services,yes,Self help,Management,smart worker,yes,yes,Database Developer
5,3,7,9,yes,yes,app development,cloud computing,medium,poor,Computer Architecture,cloud computing,Testing and Maintainance Services,yes,Drama,Management,hard worker,yes,no,Database Developer
4,4,3,5,yes,no,r programming,web technologies,poor,excellent,parallel computing,developer,Web Services,yes,Drama,Management,hard worker,no,yes,Database Developer
7,6,2,7,no,yes,shell programming,system designing,medium,poor,programming,Business process analyst,Service Based,yes,Trilogy,Technical,hard worker,yes,yes,Database Developer
5,2,7,9,yes,no,python,data science,excellent,poor,networks,security,Testing and Maintainance Services,no,Romance,Technical,smart worker,yes,no,Database Developer
8,5,6,2,no,yes,distro making,cloud computing,medium,poor,cloud computing,developer,Sales and Marketing,yes,Travel,Technical,hard worker,yes,no,Database Developer
4,4,3,5,yes,yes,r programming,game development,poor,poor,IOT,security,Testing and Maintainance Services,no,Satire,Management,smart worker,yes,no,Database Developer
9,1,2,4,no,no,python,hacking,poor,poor,Management,testing,Web Services,no,Journals,Management,hard worker,yes,no,Database Developer
6,3,1,1,yes,no,shell programming,game development,poor,poor,Management,system developer,Service Based,yes,Trilogy,Technical,hard worker,yes,no,Database Developer
5,0,5,8,yes,no,python,database security,poor,excellent,hacking,cloud computing,Sales and Marketing,no,Encyclopedias,Management,hard worker,no,yes,Database Developer
4,2,4,4,no,no,full stack,testing,poor,excellent,hacking,system developer,Product based,yes,Guide,Technical,hard worker,yes,no,Database Developer
6,0,1,6,yes,no,distro making,system designing,medium,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,yes,Mystery,Management,hard worker,yes,yes,Database Developer
6,2,3,9,no,no,hadoop,database security,medium,poor,parallel computing,security,Sales and Marketing,no,Cookbooks,Management,hard worker,yes,yes,Mobile Applications Developer
3,4,3,8,no,yes,machine learning,system designing,poor,poor,data engineering,security,product development,yes,Diaries,Technical,hard worker,no,yes,Mobile Applications Developer
2,0,4,3,no,no,app development,system designing,medium,excellent,programming,testing,SAaS services,no,Science,Technical,smart worker,yes,yes,Mobile Applications Developer
3,4,8,2,no,no,shell programming,cloud computing,medium,medium,Software Engineering,Business process analyst,SAaS services,yes,Romance,Management,hard worker,yes,no,Mobile Applications Developer
1,6,2,8,yes,no,shell programming,game development,excellent,medium,programming,testing,Finance,yes,Science,Technical,smart worker,yes,no,Mobile Applications Developer
9,5,8,6,yes,yes,hadoop,cloud computing,medium,excellent,programming,developer,BPA,no,Mystery,Technical,hard worker,yes,yes,Mobile Applications Developer
6,0,6,5,no,yes,distro making,game development,excellent,excellent,data engineering,system developer,product development,no,Health,Technical,hard worker,yes,yes,Mobile Applications Developer
2,2,3,6,no,yes,information security,hacking,medium,poor,cloud computing,testing,product development,no,Trilogy,Management,smart worker,yes,no,Mobile Applications Developer
1,3,7,2,no,yes,shell programming,system designing,medium,poor,hacking,developer,Product based,yes,Diaries,Technical,hard worker,no,yes,Mobile Applications Developer
4,0,3,5,yes,no,shell programming,game development,medium,excellent,Management,system developer,Testing and Maintainance Services,no,Guide,Management,hard worker,no,no,Mobile Applications Developer
2,3,4,3,no,yes,r programming,testing,poor,excellent,Computer Architecture,security,Finance,yes,Autobiographies,Technical,hard worker,yes,yes,Mobile Applications Developer
7,0,7,7,yes,yes,r programming,data science,excellent,poor,Computer Architecture,Business process analyst,Web Services,no,History,Technical,hard worker,no,yes,Mobile Applications Developer
8,4,5,7,no,no,hadoop,data science,excellent,excellent,programming,developer,Product based,no,Fantasy,Management,hard worker,no,no,Mobile Applications Developer
9,5,6,9,no,no,information security,game development,excellent,excellent,Management,cloud computing,Finance,no,Health,Management,hard worker,yes,no,Mobile Applications Developer
3,3,7,8,no,no,information security,database security,poor,poor,data engineering,Business process analyst,Web Services,no,Comics,Management,smart worker,no,no,Mobile Applications Developer
8,1,6,2,yes,no,machine learning,web technologies,medium,medium,Computer Architecture,Business process analyst,Service Based,yes,Journals,Management,smart worker,yes,yes,Mobile Applications Developer
8,4,7,1,yes,no,machine learning,web technologies,excellent,excellent,Management,Business process analyst,Finance,no,Health,Management,smart worker,yes,yes,Mobile Applications Developer
6,4,7,8,yes,no,r programming,system designing,poor,poor,IOT,Business process analyst,Testing and Maintainance Services,yes,Action and Adventure,Technical,hard worker,yes,yes,Mobile Applications Developer
5,0,3,3,no,yes,app development,data science,excellent,excellent,Software Engineering,testing,Product based,yes,Horror,Management,hard worker,no,yes,Mobile Applications Developer
7,6,5,6,yes,yes,machine learning,database security,excellent,medium,Management,system developer,product development,no,Dictionaries,Management,hard worker,yes,yes,Mobile Applications Developer
1,6,6,7,yes,no,information security,data science,medium,poor,networks,testing,SAaS services,yes,Comics,Management,smart worker,yes,no,Mobile Applications Developer
8,6,5,1,no,no,information security,database security,excellent,excellent,Computer Architecture,developer,Sales and Marketing,yes,Diaries,Technical,smart worker,no,no,Mobile Applications Developer
6,3,3,6,no,no,shell programming,database security,poor,medium,data engineering,Business process analyst,Product based,no,Satire,Management,hard worker,yes,no,Mobile Applications Developer
4,5,3,3,no,yes,hadoop,database security,excellent,medium,IOT,Business process analyst,SAaS services,no,Science,Management,smart worker,no,no,Mobile Applications Developer
9,4,8,5,yes,yes,machine learning,database security,medium,medium,data engineering,testing,Testing and Maintainance Services,no,History,Management,smart worker,no,no,Mobile Applications Developer
8,6,5,5,yes,no,information security,web technologies,poor,poor,networks,Business process analyst,Product based,no,Math,Management,hard worker,yes,yes,Mobile Applications Developer
9,0,4,6,yes,no,shell programming,system designing,poor,medium,cloud computing,developer,Finance,no,Mystery,Management,smart worker,yes,yes,Mobile Applications Developer
7,4,9,8,no,yes,distro making,hacking,excellent,poor,cloud computing,testing,BPA,no,Fantasy,Technical,hard worker,yes,no,Mobile Applications Developer
8,4,5,6,no,yes,hadoop,cloud computing,medium,medium,data engineering,testing,Service Based,yes,Poetry,Management,hard worker,no,yes,Mobile Applications Developer
3,5,4,7,no,yes,distro making,web technologies,excellent,excellent,Computer Architecture,security,Cloud Services,yes,Science fiction,Technical,hard worker,no,yes,Mobile Applications Developer
1,2,9,2,yes,no,information security,web technologies,poor,medium,IOT,Business process analyst,BPA,yes,Encyclopedias,Management,smart worker,no,yes,Mobile Applications Developer
8,0,1,9,no,no,r programming,cloud computing,medium,poor,programming,testing,Testing and Maintainance Services,no,Satire,Technical,hard worker,yes,yes,Mobile Applications Developer
7,5,7,5,yes,no,r programming,hacking,medium,poor,Software Engineering,developer,Web Services,yes,Fantasy,Management,smart worker,yes,yes,Mobile Applications Developer
2,6,8,5,no,yes,python,data science,medium,poor,hacking,Business process analyst,Cloud Services,no,Diaries,Management,hard worker,no,no,Mobile Applications Developer
4,6,1,2,yes,no,hadoop,web technologies,excellent,excellent,data engineering,system developer,Cloud Services,yes,Health,Management,smart worker,no,no,Mobile Applications Developer
8,1,1,8,no,no,information security,web technologies,medium,poor,data engineering,cloud computing,Product based,yes,Guide,Technical,hard worker,yes,yes,Mobile Applications Developer
1,6,8,7,no,yes,information security,hacking,excellent,medium,parallel computing,Business process analyst,Cloud Services,no,Anthology,Management,hard worker,yes,yes,Mobile Applications Developer
9,5,3,6,no,yes,shell programming,hacking,poor,excellent,networks,testing,BPA,no,Horror,Technical,hard worker,no,yes,Mobile Applications Developer
9,1,3,6,yes,no,machine learning,hacking,medium,excellent,Software Engineering,Business process analyst,Testing and Maintainance Services,no,Dictionaries,Technical,smart worker,no,yes,Mobile Applications Developer
6,6,3,2,yes,no,full stack,system designing,excellent,excellent,programming,Business process analyst,product development,no,Health,Technical,hard worker,no,no,Mobile Applications Developer
3,0,6,4,yes,yes,python,system designing,excellent,medium,cloud computing,Business process analyst,SAaS services,yes,Comics,Technical,hard worker,no,yes,Mobile Applications Developer
5,6,5,5,yes,no,full stack,data science,excellent,poor,programming,testing,product development,yes,Diaries,Management,smart worker,yes,yes,Mobile Applications Developer
3,5,4,3,no,no,shell programming,game development,excellent,medium,cloud computing,cloud computing,Web Services,no,Trilogy,Technical,hard worker,no,yes,Mobile Applications Developer
8,5,6,3,no,yes,r programming,hacking,poor,poor,Management,security,BPA,yes,Travel,Management,hard worker,yes,yes,Mobile Applications Developer
7,3,1,9,yes,no,full stack,testing,medium,medium,cloud computing,cloud computing,product development,yes,Encyclopedias,Technical,smart worker,no,yes,Mobile Applications Developer
6,2,6,3,yes,no,full stack,database security,excellent,poor,networks,Business process analyst,Cloud Services,yes,Travel,Management,smart worker,no,yes,Mobile Applications Developer
2,1,4,3,no,no,app development,database security,poor,excellent,Software Engineering,cloud computing,Testing and Maintainance Services,no,Guide,Management,smart worker,yes,yes,Mobile Applications Developer
8,2,3,8,no,no,python,testing,excellent,excellent,networks,cloud computing,BPA,no,Diaries,Management,hard worker,no,yes,Mobile Applications Developer
4,1,4,2,no,yes,information security,data science,excellent,poor,data engineering,developer,Service Based,no,Satire,Technical,hard worker,yes,yes,Mobile Applications Developer
2,5,1,7,yes,no,python,testing,poor,medium,programming,testing,Finance,yes,Art,Management,hard worker,yes,no,Mobile Applications Developer
6,1,2,7,yes,yes,full stack,cloud computing,medium,excellent,IOT,security,Product based,no,Horror,Technical,smart worker,yes,no,Mobile Applications Developer
5,4,6,4,no,yes,r programming,testing,poor,poor,parallel computing,testing,Sales and Marketing,yes,Romance,Management,smart worker,no,yes,Mobile Applications Developer
3,1,4,7,yes,yes,distro making,database security,excellent,excellent,parallel computing,cloud computing,Web Services,no,Prayer books,Technical,smart worker,yes,no,Mobile Applications Developer
9,5,8,2,yes,no,r programming,data science,poor,poor,parallel computing,system developer,Product based,no,Math,Management,smart worker,no,yes,Mobile Applications Developer
1,5,4,6,no,no,app development,system designing,excellent,poor,parallel computing,security,BPA,yes,Childrens,Technical,hard worker,yes,no,Mobile Applications Developer
8,1,4,8,no,no,information security,web technologies,poor,excellent,cloud computing,Business process analyst,Web Services,yes,Self help,Technical,hard worker,yes,no,Mobile Applications Developer
6,6,9,6,no,yes,full stack,web technologies,poor,medium,parallel computing,cloud computing,Sales and Marketing,yes,Science fiction,Technical,hard worker,yes,yes,Mobile Applications Developer
2,4,5,5,yes,no,r programming,testing,excellent,excellent,networks,security,BPA,yes,Childrens,Technical,smart worker,no,yes,Mobile Applications Developer
2,6,2,2,no,no,distro making,hacking,poor,medium,parallel computing,developer,Service Based,no,History,Management,smart worker,yes,no,Mobile Applications Developer
9,3,3,6,yes,no,distro making,data science,medium,excellent,Management,developer,Web Services,no,History,Management,hard worker,no,yes,Mobile Applications Developer
8,6,6,3,yes,no,full stack,web technologies,excellent,medium,Computer Architecture,security,Web Services,no,Science fiction,Management,hard worker,no,yes,Mobile Applications Developer
5,0,2,9,no,yes,hadoop,web technologies,poor,medium,hacking,testing,Cloud Services,no,Self help,Technical,hard worker,yes,yes,Mobile Applications Developer
8,3,6,1,no,no,hadoop,game development,excellent,poor,hacking,security,Testing and Maintainance Services,no,Horror,Technical,hard worker,no,no,Mobile Applications Developer
6,5,5,6,yes,yes,full stack,game development,poor,excellent,cloud computing,testing,Cloud Services,no,Prayer books,Management,hard worker,yes,yes,Mobile Applications Developer
2,2,6,2,no,yes,distro making,data science,medium,medium,Computer Architecture,security,BPA,yes,Prayer books,Management,smart worker,yes,no,Mobile Applications Developer
6,3,2,7,yes,no,python,data science,medium,medium,Management,cloud computing,Finance,yes,Satire,Management,smart worker,yes,no,Mobile Applications Developer
7,6,9,6,yes,no,app development,testing,excellent,poor,parallel computing,developer,product development,no,Romance,Management,smart worker,yes,yes,Mobile Applications Developer
6,6,4,6,yes,yes,app development,system designing,excellent,poor,Management,system developer,Web Services,no,Comics,Technical,smart worker,no,yes,Mobile Applications Developer
5,0,2,5,no,no,distro making,web technologies,poor,medium,IOT,developer,Web Services,yes,Diaries,Management,hard worker,no,no,Mobile Applications Developer
7,1,7,9,yes,no,machine learning,game development,poor,excellent,hacking,Business process analyst,BPA,no,Diaries,Management,hard worker,yes,yes,Mobile Applications Developer
6,4,2,4,yes,no,shell programming,system designing,poor,medium,data engineering,testing,Sales and Marketing,no,Encyclopedias,Technical,hard worker,yes,no,Mobile Applications Developer
9,5,3,2,no,no,hadoop,hacking,excellent,poor,Management,Business process analyst,BPA,yes,Travel,Technical,smart worker,yes,yes,Mobile Applications Developer
9,0,5,7,no,yes,python,cloud computing,poor,medium,data engineering,testing,Product based,no,Anthology,Management,hard worker,yes,no,Mobile Applications Developer
8,3,1,5,no,yes,app development,cloud computing,excellent,medium,Management,security,BPA,yes,Math,Management,hard worker,no,no,Mobile Applications Developer
9,3,4,9,yes,yes,machine learning,cloud computing,poor,poor,data engineering,Business process analyst,Web Services,yes,Prayer books,Management,hard worker,no,no,Mobile Applications Developer
1,0,3,6,no,no,distro making,system designing,medium,poor,networks,Business process analyst,Finance,no,Trilogy,Management,hard worker,yes,no,Mobile Applications Developer
6,1,3,9,yes,yes,machine learning,game development,excellent,poor,Management,testing,Web Services,yes,Horror,Technical,hard worker,no,no,Mobile Applications Developer
6,3,4,7,no,yes,hadoop,system designing,medium,poor,hacking,testing,product development,no,Dictionaries,Technical,smart worker,no,no,Mobile Applications Developer
4,0,7,4,yes,no,full stack,hacking,excellent,medium,cloud computing,Business process analyst,product development,no,Self help,Management,smart worker,no,yes,Mobile Applications Developer
6,3,6,1,yes,no,machine learning,game development,medium,excellent,Software Engineering,developer,Cloud Services,yes,Guide,Technical,smart worker,no,no,Mobile Applications Developer
6,2,6,3,yes,yes,machine learning,web technologies,medium,medium,IOT,security,product development,no,Self help,Management,smart worker,yes,no,Mobile Applications Developer
5,5,9,7,yes,no,app development,hacking,medium,poor,programming,system developer,Testing and Maintainance Services,no,Poetry,Management,smart worker,no,no,Mobile Applications Developer
3,2,8,9,yes,yes,app development,game development,medium,excellent,parallel computing,security,product development,yes,Travel,Management,smart worker,yes,no,Mobile Applications Developer
7,1,9,7,yes,no,r programming,testing,poor,excellent,IOT,developer,Finance,yes,Self help,Management,smart worker,yes,no,Mobile Applications Developer
9,2,4,6,no,no,shell programming,testing,medium,excellent,data engineering,testing,Service Based,yes,Diaries,Technical,smart worker,yes,no,Mobile Applications Developer
9,0,1,3,yes,no,r programming,system designing,medium,medium,programming,system developer,Finance,no,Religion-Spirituality,Technical,hard worker,yes,no,Mobile Applications Developer
2,4,5,1,yes,no,python,cloud computing,medium,medium,IOT,system developer,BPA,yes,Health,Technical,smart worker,no,yes,Mobile Applications Developer
9,2,3,1,yes,yes,full stack,database security,poor,excellent,Management,Business process analyst,Finance,no,Mystery,Technical,smart worker,no,yes,Mobile Applications Developer
6,5,1,7,no,yes,distro making,cloud computing,medium,medium,hacking,system developer,Finance,yes,Romance,Management,hard worker,no,no,Mobile Applications Developer
1,5,9,4,yes,yes,machine learning,hacking,medium,excellent,Computer Architecture,testing,Sales and Marketing,no,Art,Management,hard worker,yes,no,Mobile Applications Developer
6,5,8,4,no,yes,machine learning,system designing,poor,medium,parallel computing,system developer,product development,no,Travel,Management,hard worker,yes,yes,Mobile Applications Developer
4,4,9,4,no,yes,distro making,cloud computing,medium,excellent,networks,testing,Product based,no,Biographies,Technical,smart worker,yes,no,Mobile Applications Developer
9,4,9,9,no,no,r programming,database security,poor,medium,programming,security,Testing and Maintainance Services,yes,Horror,Management,smart worker,no,no,Mobile Applications Developer
1,2,9,5,yes,yes,information security,data science,excellent,poor,networks,system developer,Cloud Services,no,Prayer books,Technical,hard worker,no,yes,Mobile Applications Developer
1,0,4,8,yes,yes,shell programming,cloud computing,poor,medium,programming,cloud computing,Sales and Marketing,yes,Childrens,Technical,hard worker,no,no,Mobile Applications Developer
9,3,9,1,no,no,hadoop,testing,excellent,poor,hacking,Business process analyst,Finance,no,Mystery,Management,smart worker,yes,no,Mobile Applications Developer
9,3,1,4,no,no,distro making,testing,poor,medium,Management,security,Cloud Services,yes,Prayer books,Technical,smart worker,no,no,Mobile Applications Developer
9,1,1,7,no,yes,distro making,cloud computing,excellent,excellent,Management,system developer,BPA,yes,Horror,Technical,hard worker,no,no,Mobile Applications Developer
9,3,4,6,no,yes,shell programming,data science,poor,poor,Computer Architecture,system developer,SAaS services,yes,Series,Management,hard worker,yes,yes,Mobile Applications Developer
1,5,1,6,no,no,r programming,game development,medium,excellent,Management,system developer,Sales and Marketing,yes,Horror,Management,hard worker,no,no,Mobile Applications Developer
1,2,1,5,no,yes,r programming,web technologies,excellent,excellent,hacking,system developer,BPA,no,Autobiographies,Management,smart worker,no,no,Mobile Applications Developer
5,2,1,3,yes,yes,python,hacking,excellent,poor,Management,Business process analyst,product development,no,Satire,Management,hard worker,no,yes,Mobile Applications Developer
4,6,3,4,yes,yes,machine learning,testing,poor,poor,networks,cloud computing,Web Services,no,Health,Management,smart worker,yes,yes,Mobile Applications Developer
2,4,1,1,no,yes,shell programming,hacking,medium,medium,Computer Architecture,testing,Service Based,yes,History,Management,smart worker,yes,no,Mobile Applications Developer
6,5,1,4,yes,yes,shell programming,game development,medium,medium,networks,cloud computing,Service Based,no,Action and Adventure,Management,smart worker,yes,yes,Mobile Applications Developer
9,5,3,4,no,yes,python,hacking,medium,excellent,parallel computing,security,product development,no,Math,Technical,smart worker,no,no,Mobile Applications Developer
4,5,1,3,yes,yes,machine learning,data science,poor,medium,parallel computing,developer,Web Services,yes,Cookbooks,Technical,smart worker,yes,no,Mobile Applications Developer
6,3,7,7,no,no,information security,cloud computing,excellent,poor,IOT,Business process analyst,Product based,yes,Childrens,Management,hard worker,yes,yes,Mobile Applications Developer
8,6,1,1,no,no,r programming,cloud computing,medium,medium,Computer Architecture,testing,product development,no,Math,Management,smart worker,no,no,Mobile Applications Developer
8,5,8,1,no,yes,python,web technologies,excellent,excellent,IOT,Business process analyst,Sales and Marketing,no,Autobiographies,Technical,hard worker,no,no,Mobile Applications Developer
7,1,7,9,yes,yes,shell programming,cloud computing,medium,poor,IOT,developer,Testing and Maintainance Services,no,Biographies,Management,hard worker,yes,yes,Mobile Applications Developer
8,5,1,8,yes,yes,shell programming,cloud computing,poor,excellent,IOT,testing,Web Services,yes,Encyclopedias,Technical,smart worker,no,no,Mobile Applications Developer
6,6,2,8,no,yes,app development,cloud computing,poor,medium,Software Engineering,testing,BPA,no,Self help,Management,smart worker,yes,no,Mobile Applications Developer
8,3,6,7,no,yes,information security,web technologies,excellent,poor,Management,security,Sales and Marketing,yes,Science fiction,Management,hard worker,yes,yes,Mobile Applications Developer
4,3,4,9,no,no,r programming,web technologies,excellent,excellent,hacking,testing,Product based,no,Guide,Management,smart worker,no,no,Mobile Applications Developer
1,4,4,8,yes,no,hadoop,system designing,medium,poor,IOT,system developer,Product based,yes,Cookbooks,Technical,smart worker,no,yes,Mobile Applications Developer
1,0,3,6,yes,yes,information security,web technologies,excellent,medium,data engineering,cloud computing,Product based,yes,Romance,Management,smart worker,yes,yes,Mobile Applications Developer
9,3,3,3,no,yes,python,data science,poor,medium,cloud computing,security,Cloud Services,yes,History,Management,hard worker,yes,yes,Mobile Applications Developer
9,1,3,7,no,no,machine learning,data science,excellent,poor,Software Engineering,Business process analyst,SAaS services,no,Journals,Management,smart worker,no,yes,Mobile Applications Developer
4,6,1,2,no,no,distro making,game development,poor,medium,Software Engineering,Business process analyst,Finance,no,Fantasy,Management,hard worker,no,yes,Mobile Applications Developer
5,4,8,8,no,yes,hadoop,system designing,poor,medium,cloud computing,system developer,Service Based,yes,Horror,Technical,hard worker,no,no,Mobile Applications Developer
9,3,4,2,yes,no,python,system designing,excellent,medium,programming,security,Finance,no,Self help,Technical,hard worker,yes,no,Mobile Applications Developer
